"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript React", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\AdminRoute.tsx", "TypeScript React", 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\MainRouter.tsx", "TypeScript React", 0, 0, 0, 67, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PrivateRoute.tsx", "TypeScript React", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PublicRoute.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\auth.service.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\middleware.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\tracking.service.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 12, 80
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\actions.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\projectsSlice.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\reducer.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\types.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\selectors.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\store.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\actions.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 9, 75
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\reducer.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\taskSlice.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\types.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Project.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 12, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Task.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 20, 97
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\User.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\actions.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\reducer.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\types.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\usersSlice.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\types\react-table-config.d.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 5, 9, 121
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\error.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\timer.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 3, 14, 95
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\validators.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\tsconfig.json", "JSON with Comments", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 808, 28, 30477, 2691, 26, 8, 20, 1, 39, 469, 34567
